location	values	latitude	longitude	region	county	locality
Nebraska	{'latitude': 41.499671, 'longitude': -99.810075, 'type': 'region', 'name': 'Nebraska', 'number': None, 'postal_code': None, 'street': None, 'confidence': 1, 'region': 'Nebraska', 'region_code': 'NE', 'county': None, 'locality': None, 'administrative_area': None, 'neighbourhood': None, 'country': 'United States', 'country_code': 'USA', 'continent': 'North America', 'label': 'Nebraska, USA'}	41.499671	-99.810075	Nebraska		
Iowa	{'latitude': 42.039943, 'longitude': -93.500069, 'type': 'region', 'name': 'Iowa', 'number': None, 'postal_code': None, 'street': None, 'confidence': 1, 'region': 'Iowa', 'region_code': 'IA', 'county': None, 'locality': None, 'administrative_area': None, 'neighbourhood': None, 'country': 'United States', 'country_code': 'USA', 'continent': 'North America', 'label': 'Iowa, USA'}	42.039943	-93.500069	Iowa		
Tacoma, WA 98409 (South Tacoma area)	{'latitude': 47.235357, 'longitude': -122.452504, 'type': 'locality', 'name': 'Tacoma', 'number': None, 'postal_code': None, 'street': None, 'confidence': 0.6, 'region': 'Washington', 'region_code': 'WA', 'county': 'Pierce County', 'locality': 'Tacoma', 'administrative_area': None, 'neighbourhood': None, 'country': 'United States', 'country_code': 'USA', 'continent': 'North America', 'label': 'Tacoma, WA, USA'}	47.235357	-122.452504	Washington	Pierce County	Tacoma
Roseburg, OR 97471	{'latitude': 43.222691, 'longitude': -123.346273, 'type': 'locality', 'name': 'Roseburg', 'number': None, 'postal_code': None, 'street': None, 'confidence': 0.6, 'region': 'Oregon', 'region_code': 'OR', 'county': 'Douglas County', 'locality': 'Roseburg', 'administrative_area': None, 'neighbourhood': None, 'country': 'United States', 'country_code': 'USA', 'continent': 'North America', 'label': 'Roseburg, OR, USA'}	43.222691	-123.346273	Oregon	Douglas County	Roseburg
Miramar, FL 33027	{'latitude': 25.988101, 'longitude': -80.340444, 'type': 'postalcode', 'name': '33027', 'number': None, 'postal_code': '33027', 'street': None, 'confidence': 1, 'region': 'Florida', 'region_code': 'FL', 'county': 'Broward County', 'locality': 'Miramar', 'administrative_area': None, 'neighbourhood': None, 'country': 'United States', 'country_code': 'USA', 'continent': 'North America', 'label': '33027, Miramar, FL, USA'}	25.988101	-80.340444	Florida	Broward County	Miramar
Killeen, TX 76543	{'latitude': 31.074606, 'longitude': -97.726731, 'type': 'locality', 'name': 'Killeen', 'number': None, 'postal_code': None, 'street': None, 'confidence': 0.6, 'region': 'Texas', 'region_code': 'TX', 'county': 'Bell County', 'locality': 'Killeen', 'administrative_area': None, 'neighbourhood': None, 'country': 'United States', 'country_code': 'USA', 'continent': 'North America', 'label': 'Killeen, TX, USA'}	31.074606	-97.726731	Texas	Bell County	Killeen
Stony Brook, NY 11794	{'latitude': 40.913638, 'longitude': -73.125128, 'type': 'postalcode', 'name': '11794', 'number': None, 'postal_code': '11794', 'street': None, 'confidence': 1, 'region': 'New York', 'region_code': 'NY', 'county': 'Suffolk County', 'locality': 'Stony Brook University', 'administrative_area': 'Brookhaven', 'neighbourhood': None, 'country': 'United States', 'country_code': 'USA', 'continent': 'North America', 'label': '11794, Stony Brook University, NY, USA'}	40.913638	-73.125128	New York	Suffolk County	Stony Brook University
Weston, FL	{'latitude': 26.099634, 'longitude': -80.405192, 'type': 'locality', 'name': 'Weston', 'number': None, 'postal_code': None, 'street': None, 'confidence': 1, 'region': 'Florida', 'region_code': 'FL', 'county': 'Broward County', 'locality': 'Weston', 'administrative_area': None, 'neighbourhood': None, 'country': 'United States', 'country_code': 'USA', 'continent': 'North America', 'label': 'Weston, FL, USA'}	26.099634	-80.405192	Florida	Broward County	Weston
Medley, FL 33178	{'latitude': 25.865928, 'longitude': -80.358583, 'type': 'locality', 'name': 'Medley', 'number': None, 'postal_code': None, 'street': None, 'confidence': 0.6, 'region': 'Florida', 'region_code': 'FL', 'county': 'Miami-Dade County', 'locality': 'Medley', 'administrative_area': None, 'neighbourhood': None, 'country': 'United States', 'country_code': 'USA', 'continent': 'North America', 'label': 'Medley, FL, USA'}	25.865928	-80.358583	Florida	Miami-Dade County	Medley
Chicago, IL 60605 (The Loop area)	{'latitude': 41.867567, 'longitude': -87.617228, 'type': 'postalcode', 'name': '60605', 'number': None, 'postal_code': '60605', 'street': None, 'confidence': 1, 'region': 'Illinois', 'region_code': 'IL', 'county': 'Cook County', 'locality': 'Chicago', 'administrative_area': 'Chicago', 'neighbourhood': None, 'country': 'United States', 'country_code': 'USA', 'continent': 'North America', 'label': '60605, Chicago, IL, USA'}	41.867567	-87.617228	Illinois	Cook County	Chicago
Miramar, FL 33025	{'latitude': 25.988208, 'longitude': -80.281357, 'type': 'postalcode', 'name': '33025', 'number': None, 'postal_code': '33025', 'street': None, 'confidence': 1, 'region': 'Florida', 'region_code': 'FL', 'county': 'Broward County', 'locality': 'Miramar', 'administrative_area': None, 'neighbourhood': None, 'country': 'United States', 'country_code': 'USA', 'continent': 'North America', 'label': '33025, Miramar, FL, USA'}	25.988208	-80.281357	Florida	Broward County	Miramar
New York, NY 10017	{'latitude': 40.752359, 'longitude': -73.972489, 'type': 'postalcode', 'name': '10017', 'number': None, 'postal_code': '10017', 'street': None, 'confidence': 1, 'region': 'New York', 'region_code': 'NY', 'county': 'Kings County', 'locality': 'New York', 'administrative_area': None, 'neighbourhood': None, 'country': 'United States', 'country_code': 'USA', 'continent': 'North America', 'label': '10017, New York, NY, USA'}	40.752359	-73.972489	New York	Kings County	New York
Washington, DC 20433 (Foggy Bottom area)	{'latitude': 38.82652, 'longitude': -77.01712, 'type': 'locality', 'name': 'Washington', 'number': None, 'postal_code': None, 'street': None, 'confidence': 0.6, 'region': 'District of Columbia', 'region_code': 'DC', 'county': 'District of Columbia', 'locality': 'Washington', 'administrative_area': None, 'neighbourhood': None, 'country': 'United States', 'country_code': 'USA', 'continent': 'North America', 'label': 'Washington, DC, USA'}	38.82652	-77.01712	District of Columbia	District of Columbia	Washington
Raleigh, NC 27699	{'latitude': 35.795543, 'longitude': -78.64439, 'type': 'locality', 'name': 'Raleigh', 'number': None, 'postal_code': None, 'street': None, 'confidence': 0.6, 'region': 'North Carolina', 'region_code': 'NC', 'county': 'Wake County', 'locality': 'Raleigh', 'administrative_area': None, 'neighbourhood': None, 'country': 'United States', 'country_code': 'USA', 'continent': 'North America', 'label': 'Raleigh, NC, USA'}	35.795543	-78.64439	North Carolina	Wake County	Raleigh
Norton Shores, MI 49441	{'latitude': 43.1689, 'longitude': -86.26395, 'type': 'locality', 'name': 'Norton Shores', 'number': None, 'postal_code': None, 'street': None, 'confidence': 0.6, 'region': 'Michigan', 'region_code': 'MI', 'county': 'Muskegon County', 'locality': 'Norton Shores', 'administrative_area': 'Norton Shores', 'neighbourhood': None, 'country': 'United States', 'country_code': 'USA', 'continent': 'North America', 'label': 'Norton Shores, MI, USA'}	43.1689	-86.26395	Michigan	Muskegon County	Norton Shores
Lincoln, NE 68510 (South 48th Street area)	{'latitude': 40.817753, 'longitude': -96.669266, 'type': 'locality', 'name': 'Lincoln', 'number': None, 'postal_code': None, 'street': None, 'confidence': 0.6, 'region': 'Nebraska', 'region_code': 'NE', 'county': 'Lancaster County', 'locality': 'Lincoln', 'administrative_area': 'Lincoln', 'neighbourhood': None, 'country': 'United States', 'country_code': 'USA', 'continent': 'North America', 'label': 'Lincoln, NE, USA'}	40.817753	-96.669266	Nebraska	Lancaster County	Lincoln
Mishawaka, IN 46544	{'latitude': 41.663863, 'longitude': -86.175551, 'type': 'locality', 'name': 'Mishawaka', 'number': None, 'postal_code': None, 'street': None, 'confidence': 0.6, 'region': 'Indiana', 'region_code': 'IN', 'county': 'St. Joseph County', 'locality': 'Mishawaka', 'administrative_area': 'Penn Township', 'neighbourhood': None, 'country': 'United States', 'country_code': 'USA', 'continent': 'North America', 'label': 'Mishawaka, IN, USA'}	41.663863	-86.175551	Indiana	St. Joseph County	Mishawaka
Baltimore, MD 21224 (Bayview area)	{'latitude': 43.499854, 'longitude': 16.333589, 'type': 'venue', 'name': '21224 Slatine', 'number': '6', 'postal_code': '21224', 'street': 'Put Duboke garme', 'confidence': 1, 'region': 'Splitsko-dalmatinska', 'region_code': 'SD', 'county': None, 'locality': None, 'administrative_area': None, 'neighbourhood': None, 'country': 'Croatia', 'country_code': 'HRV', 'continent': 'Europe', 'label': '21224 Slatine, SD, Croatia'}	43.499854	16.333589	Splitsko-dalmatinska		
Chicago, IL 60618 (Irving Park area)	{'latitude': 41.9669, 'longitude': -87.997017, 'type': 'address', 'name': '1325 Irving Park', 'number': '1325', 'postal_code': '60143', 'street': 'Irving Park', 'confidence': 0.8, 'region': 'Illinois', 'region_code': 'IL', 'county': 'DuPage County', 'locality': 'Itasca', 'administrative_area': 'Addison Township', 'neighbourhood': None, 'country': 'United States', 'country_code': 'USA', 'continent': 'North America', 'label': '1325 Irving Park, Itasca, IL, USA'}	41.9669	-87.997017	Illinois	DuPage County	Itasca
Birmingham, AL 35298	{'latitude': 33.530651, 'longitude': -86.800929, 'type': 'locality', 'name': 'Birmingham', 'number': None, 'postal_code': None, 'street': None, 'confidence': 0.6, 'region': 'Alabama', 'region_code': 'AL', 'county': 'Jefferson County', 'locality': 'Birmingham', 'administrative_area': None, 'neighbourhood': None, 'country': 'United States', 'country_code': 'USA', 'continent': 'North America', 'label': 'Birmingham, AL, USA'}	33.530651	-86.800929	Alabama	Jefferson County	Birmingham
Miami, FL 33155	{'latitude': 25.766368, 'longitude': -80.210268, 'type': 'locality', 'name': 'Miami', 'number': None, 'postal_code': None, 'street': None, 'confidence': 0.6, 'region': 'Florida', 'region_code': 'FL', 'county': 'Miami-Dade County', 'locality': 'Miami', 'administrative_area': None, 'neighbourhood': None, 'country': 'United States', 'country_code': 'USA', 'continent': 'North America', 'label': 'Miami, FL, USA'}	25.766368	-80.210268	Florida	Miami-Dade County	Miami
Jericho, NY 11753	{'latitude': 40.789713, 'longitude': -73.539899, 'type': 'postalcode', 'name': '11753', 'number': None, 'postal_code': '11753', 'street': None, 'confidence': 1, 'region': 'New York', 'region_code': 'NY', 'county': 'Nassau County', 'locality': 'Jericho', 'administrative_area': 'Oyster Bay', 'neighbourhood': None, 'country': 'United States', 'country_code': 'USA', 'continent': 'North America', 'label': '11753, Jericho, NY, USA'}	40.789713	-73.539899	New York	Nassau County	Jericho
West Des Moines, IA	{'latitude': 41.567003, 'longitude': -93.772516, 'type': 'locality', 'name': 'West Des Moines', 'number': None, 'postal_code': None, 'street': None, 'confidence': 1, 'region': 'Iowa', 'region_code': 'IA', 'county': 'Polk County', 'locality': 'West Des Moines', 'administrative_area': None, 'neighbourhood': None, 'country': 'United States', 'country_code': 'USA', 'continent': 'North America', 'label': 'West Des Moines, IA, USA'}	41.567003	-93.772516	Iowa	Polk County	West Des Moines
Watson, IL	{'latitude': 39.046066, 'longitude': -88.51307, 'type': 'locality', 'name': 'Watson', 'number': None, 'postal_code': None, 'street': None, 'confidence': 1, 'region': 'Illinois', 'region_code': 'IL', 'county': 'Effingham County', 'locality': 'Watson', 'administrative_area': 'Watson Township', 'neighbourhood': None, 'country': 'United States', 'country_code': 'USA', 'continent': 'North America', 'label': 'Watson, IL, USA'}	39.046066	-88.51307	Illinois	Effingham County	Watson
Augusta, GA	{'latitude': 33.411269, 'longitude': -82.03151, 'type': 'locality', 'name': 'Augusta-Richmond County', 'number': None, 'postal_code': None, 'street': None, 'confidence': 1, 'region': 'Georgia', 'region_code': 'GA', 'county': 'Richmond County', 'locality': 'Augusta-Richmond County', 'administrative_area': None, 'neighbourhood': None, 'country': 'United States', 'country_code': 'USA', 'continent': 'North America', 'label': 'Augusta-Richmond County, GA, USA'}	33.411269	-82.03151	Georgia	Richmond County	Augusta-Richmond County
Jacksonville, FL 32256 (Deerwood area)	{'latitude': 30.174552, 'longitude': -81.474019, 'type': 'postalcode', 'name': '32256', 'number': None, 'postal_code': '32256', 'street': None, 'confidence': 1, 'region': 'Florida', 'region_code': 'FL', 'county': 'Duval County', 'locality': 'Jacksonville', 'administrative_area': None, 'neighbourhood': None, 'country': 'United States', 'country_code': 'USA', 'continent': 'North America', 'label': '32256, Jacksonville, FL, USA'}	30.174552	-81.474019	Florida	Duval County	Jacksonville
Spring Hill, FL	{'latitude': 28.483651, 'longitude': -82.52145, 'type': 'locality', 'name': 'Spring Hill', 'number': None, 'postal_code': None, 'street': None, 'confidence': 1, 'region': 'Florida', 'region_code': 'FL', 'county': 'Hernando County', 'locality': 'Spring Hill', 'administrative_area': None, 'neighbourhood': None, 'country': 'United States', 'country_code': 'USA', 'continent': 'North America', 'label': 'Spring Hill, FL, USA'}	28.483651	-82.52145	Florida	Hernando County	Spring Hill
Watertown, SD	{'latitude': 44.931929, 'longitude': -97.197144, 'type': 'locality', 'name': 'Watertown', 'number': None, 'postal_code': None, 'street': None, 'confidence': 1, 'region': 'South Dakota', 'region_code': 'SD', 'county': 'Codington County', 'locality': 'Watertown', 'administrative_area': 'Watertown', 'neighbourhood': None, 'country': 'United States', 'country_code': 'USA', 'continent': 'North America', 'label': 'Watertown, SD, USA'}	44.931929	-97.197144	South Dakota	Codington County	Watertown
Lakeville, MA 02349	{'latitude': 41.83101, 'longitude': -70.95937, 'type': 'locality', 'name': 'Town of Lakeville', 'number': None, 'postal_code': None, 'street': None, 'confidence': 0.6, 'region': 'Massachusetts', 'region_code': 'MA', 'county': 'Plymouth County', 'locality': 'Town of Lakeville', 'administrative_area': 'Lakeville', 'neighbourhood': None, 'country': 'United States', 'country_code': 'USA', 'continent': 'North America', 'label': 'Town of Lakeville, MA, USA'}	41.83101	-70.95937	Massachusetts	Plymouth County	Town of Lakeville
Apache Junction, AZ	{'latitude': 33.420448, 'longitude': -111.547728, 'type': 'locality', 'name': 'Apache Junction', 'number': None, 'postal_code': None, 'street': None, 'confidence': 1, 'region': 'Arizona', 'region_code': 'AZ', 'county': 'Pinal County', 'locality': 'Apache Junction', 'administrative_area': None, 'neighbourhood': None, 'country': 'United States', 'country_code': 'USA', 'continent': 'North America', 'label': 'Apache Junction, AZ, USA'}	33.420448	-111.547728	Arizona	Pinal County	Apache Junction
Trevose, PA 19053	{'latitude': 40.151182, 'longitude': -74.982154, 'type': 'locality', 'name': 'Trevose', 'number': None, 'postal_code': None, 'street': None, 'confidence': 0.6, 'region': 'Pennsylvania', 'region_code': 'PA', 'county': 'Bucks County', 'locality': 'Trevose', 'administrative_area': 'Lower Southampton Township', 'neighbourhood': None, 'country': 'United States', 'country_code': 'USA', 'continent': 'North America', 'label': 'Trevose, PA, USA'}	40.151182	-74.982154	Pennsylvania	Bucks County	Trevose
