location	values
Piedmont, SC 29673	{'latitude': 34.700854, 'longitude': -82.460071, 'type': 'locality', 'name': 'Piedmont', 'number': None, 'postal_code': None, 'street': None, 'confidence': 0.6, 'region': 'South Carolina', 'region_code': 'SC', 'county': 'Greenville County', 'locality': 'Piedmont', 'administrative_area': None, 'neighbourhood': None, 'country': 'United States', 'country_code': 'USA', 'continent': 'North America', 'label': 'Piedmont, SC, USA'}
Saline, MI 48176	{'latitude': 42.16671, 'longitude': -83.78161, 'type': 'locality', 'name': 'Saline', 'number': None, 'postal_code': None, 'street': None, 'confidence': 0.6, 'region': 'Michigan', 'region_code': 'MI', 'county': 'Washtenaw County', 'locality': 'Saline', 'administrative_area': 'Saline', 'neighbourhood': None, 'country': 'United States', 'country_code': 'USA', 'continent': 'North America', 'label': 'Saline, MI, USA'}
New Orleans, LA 70122	{'latitude': 30.056708, 'longitude': -89.889852, 'type': 'locality', 'name': 'New Orleans', 'number': None, 'postal_code': None, 'street': None, 'confidence': 0.6, 'region': 'Louisiana', 'region_code': 'LA', 'county': 'Orleans Parish', 'locality': 'New Orleans', 'administrative_area': None, 'neighbourhood': None, 'country': 'United States', 'country_code': 'USA', 'continent': 'North America', 'label': 'New Orleans, LA, USA'}
Wallingford, CT 06492	{'latitude': 41.45875, 'longitude': -72.80392, 'type': 'locality', 'name': 'Town of Wallingford', 'number': None, 'postal_code': None, 'street': None, 'confidence': 0.6, 'region': 'Connecticut', 'region_code': 'CT', 'county': 'New Haven County', 'locality': 'Town of Wallingford', 'administrative_area': 'Wallingford', 'neighbourhood': None, 'country': 'United States', 'country_code': 'USA', 'continent': 'North America', 'label': 'Town of Wallingford, CT, USA'}
Coal Valley, IL	{'latitude': 41.440306, 'longitude': -90.459865, 'type': 'locality', 'name': 'Coal Valley', 'number': None, 'postal_code': None, 'street': None, 'confidence': 1, 'region': 'Illinois', 'region_code': 'IL', 'county': 'Rock Island County', 'locality': 'Coal Valley', 'administrative_area': 'Coal Valley Township', 'neighbourhood': None, 'country': 'United States', 'country_code': 'USA', 'continent': 'North America', 'label': 'Coal Valley, IL, USA'}
Gastonia, NC	{'latitude': 35.261305, 'longitude': -81.201239, 'type': 'locality', 'name': 'Gastonia', 'number': None, 'postal_code': None, 'street': None, 'confidence': 1, 'region': 'North Carolina', 'region_code': 'NC', 'county': 'Gaston County', 'locality': 'Gastonia', 'administrative_area': None, 'neighbourhood': None, 'country': 'United States', 'country_code': 'USA', 'continent': 'North America', 'label': 'Gastonia, NC, USA'}
Huntington Beach, CA	{'latitude': 33.678349, 'longitude': -117.999037, 'type': 'locality', 'name': 'Huntington Beach', 'number': None, 'postal_code': None, 'street': None, 'confidence': 1, 'region': 'California', 'region_code': 'CA', 'county': 'Orange County', 'locality': 'Huntington Beach', 'administrative_area': None, 'neighbourhood': None, 'country': 'United States', 'country_code': 'USA', 'continent': 'North America', 'label': 'Huntington Beach, CA, USA'}
Guam	{'latitude': 13.427861, 'longitude': 144.733813, 'type': 'dependency', 'name': 'Guam', 'number': None, 'postal_code': None, 'street': None, 'confidence': 0.1, 'region': None, 'region_code': None, 'county': None, 'locality': None, 'administrative_area': None, 'neighbourhood': None, 'country': None, 'country_code': None, 'continent': 'Oceania', 'label': 'Guam'}
Des Plaines, IL 60016	{'latitude': 42.032843, 'longitude': -87.900893, 'type': 'locality', 'name': 'Des Plaines', 'number': None, 'postal_code': None, 'street': None, 'confidence': 0.6, 'region': 'Illinois', 'region_code': 'IL', 'county': 'Cook County', 'locality': 'Des Plaines', 'administrative_area': 'Maine Township', 'neighbourhood': None, 'country': 'United States', 'country_code': 'USA', 'continent': 'North America', 'label': 'Des Plaines, IL, USA'}
Holland, OH 43528	{'latitude': 41.619424, 'longitude': -83.70908, 'type': 'locality', 'name': 'Holland', 'number': None, 'postal_code': None, 'street': None, 'confidence': 0.6, 'region': 'Ohio', 'region_code': 'OH', 'county': 'Lucas County', 'locality': 'Holland', 'administrative_area': 'Springfield Township', 'neighbourhood': None, 'country': 'United States', 'country_code': 'USA', 'continent': 'North America', 'label': 'Holland, OH, USA'}
Houston, TX 77043 (Spring Branch area)	{'latitude': 29.784753, 'longitude': -95.361416, 'type': 'locality', 'name': 'Houston', 'number': None, 'postal_code': None, 'street': None, 'confidence': 0.6, 'region': 'Texas', 'region_code': 'TX', 'county': 'Harris County', 'locality': 'Houston', 'administrative_area': None, 'neighbourhood': None, 'country': 'United States', 'country_code': 'USA', 'continent': 'North America', 'label': 'Houston, TX, USA'}
Sherman, TX 75092	{'latitude': 33.63566, 'longitude': -96.60888, 'type': 'locality', 'name': 'Sherman', 'number': None, 'postal_code': None, 'street': None, 'confidence': 0.6, 'region': 'Texas', 'region_code': 'TX', 'county': 'Grayson County', 'locality': 'Sherman', 'administrative_area': None, 'neighbourhood': None, 'country': 'United States', 'country_code': 'USA', 'continent': 'North America', 'label': 'Sherman, TX, USA'}
Hampton, GA 30228	{'latitude': 33.38706, 'longitude': -84.28298, 'type': 'locality', 'name': 'Hampton', 'number': None, 'postal_code': None, 'street': None, 'confidence': 0.6, 'region': 'Georgia', 'region_code': 'GA', 'county': 'Henry County', 'locality': 'Hampton', 'administrative_area': None, 'neighbourhood': None, 'country': 'United States', 'country_code': 'USA', 'continent': 'North America', 'label': 'Hampton, GA, USA'}
DeForest, WI 53532	{'latitude': 43.250204, 'longitude': -89.326329, 'type': 'postalcode', 'name': '53532', 'number': None, 'postal_code': '53532', 'street': None, 'confidence': 1, 'region': 'Wisconsin', 'region_code': 'WI', 'county': 'Dane County', 'locality': 'De Forest', 'administrative_area': 'Deforest', 'neighbourhood': None, 'country': 'United States', 'country_code': 'USA', 'continent': 'North America', 'label': '53532, De Forest, WI, USA'}
Chicopee, MA 01022	{'latitude': 42.180396, 'longitude': -72.567208, 'type': 'locality', 'name': 'Chicopee', 'number': None, 'postal_code': None, 'street': None, 'confidence': 0.6, 'region': 'Massachusetts', 'region_code': 'MA', 'county': 'Hampden County', 'locality': 'Chicopee', 'administrative_area': 'Chicopee', 'neighbourhood': None, 'country': 'United States', 'country_code': 'USA', 'continent': 'North America', 'label': 'Chicopee, MA, USA'}
Veedersburg, IN 47987	{'latitude': 40.114115, 'longitude': -87.256804, 'type': 'locality', 'name': 'Veedersburg', 'number': None, 'postal_code': None, 'street': None, 'confidence': 0.6, 'region': 'Indiana', 'region_code': 'IN', 'county': 'Fountain County', 'locality': 'Veedersburg', 'administrative_area': 'Van Buren Township', 'neighbourhood': None, 'country': 'United States', 'country_code': 'USA', 'continent': 'North America', 'label': 'Veedersburg, IN, USA'}
Warren, RI 02885	{'latitude': 41.73038, 'longitude': -71.28255, 'type': 'locality', 'name': 'Warren', 'number': None, 'postal_code': None, 'street': None, 'confidence': 0.6, 'region': 'Rhode Island', 'region_code': 'RI', 'county': 'Bristol County', 'locality': 'Warren', 'administrative_area': 'Warren', 'neighbourhood': None, 'country': 'United States', 'country_code': 'USA', 'continent': 'North America', 'label': 'Warren, RI, USA'}
Oxnard, CA	{'latitude': 34.195054, 'longitude': -119.180285, 'type': 'locality', 'name': 'Oxnard', 'number': None, 'postal_code': None, 'street': None, 'confidence': 1, 'region': 'California', 'region_code': 'CA', 'county': 'Ventura County', 'locality': 'Oxnard', 'administrative_area': None, 'neighbourhood': None, 'country': 'United States', 'country_code': 'USA', 'continent': 'North America', 'label': 'Oxnard, CA, USA'}
Bryan, TX	{'latitude': 30.67436, 'longitude': -96.36996, 'type': 'locality', 'name': 'Bryan', 'number': None, 'postal_code': None, 'street': None, 'confidence': 1, 'region': 'Texas', 'region_code': 'TX', 'county': 'Brazos County', 'locality': 'Bryan', 'administrative_area': None, 'neighbourhood': None, 'country': 'United States', 'country_code': 'USA', 'continent': 'North America', 'label': 'Bryan, TX, USA'}
Fremont, CA 94539	{'latitude': 37.51377, 'longitude': -121.944821, 'type': 'locality', 'name': 'Fremont', 'number': None, 'postal_code': None, 'street': None, 'confidence': 0.6, 'region': 'California', 'region_code': 'CA', 'county': 'Alameda County', 'locality': 'Fremont', 'administrative_area': None, 'neighbourhood': None, 'country': 'United States', 'country_code': 'USA', 'continent': 'North America', 'label': 'Fremont, CA, USA'}
Gardena, CA	{'latitude': 33.900333, 'longitude': -118.306898, 'type': 'locality', 'name': 'Gardena', 'number': None, 'postal_code': None, 'street': None, 'confidence': 1, 'region': 'California', 'region_code': 'CA', 'county': 'Los Angeles County', 'locality': 'Gardena', 'administrative_area': None, 'neighbourhood': None, 'country': 'United States', 'country_code': 'USA', 'continent': 'North America', 'label': 'Gardena, CA, USA'}
Tulsa, OK 74103	{'latitude': 36.155599, 'longitude': -95.994556, 'type': 'postalcode', 'name': '74103', 'number': None, 'postal_code': '74103', 'street': None, 'confidence': 1, 'region': 'Oklahoma', 'region_code': 'OK', 'county': 'Tulsa County', 'locality': 'Tulsa', 'administrative_area': None, 'neighbourhood': None, 'country': 'United States', 'country_code': 'USA', 'continent': 'North America', 'label': '74103, Tulsa, OK, USA'}
New Albany, IN 47150	{'latitude': 38.28562, 'longitude': -85.82413, 'type': 'locality', 'name': 'New Albany', 'number': None, 'postal_code': None, 'street': None, 'confidence': 0.6, 'region': 'Indiana', 'region_code': 'IN', 'county': 'Floyd County', 'locality': 'New Albany', 'administrative_area': 'New Albany Township', 'neighbourhood': None, 'country': 'United States', 'country_code': 'USA', 'continent': 'North America', 'label': 'New Albany, IN, USA'}
Scottsboro, AL	{'latitude': 34.642918, 'longitude': -86.058213, 'type': 'locality', 'name': 'Scottsboro', 'number': None, 'postal_code': None, 'street': None, 'confidence': 1, 'region': 'Alabama', 'region_code': 'AL', 'county': 'Jackson County', 'locality': 'Scottsboro', 'administrative_area': None, 'neighbourhood': None, 'country': 'United States', 'country_code': 'USA', 'continent': 'North America', 'label': 'Scottsboro, AL, USA'}
Upton, NY	{'latitude': 40.86954, 'longitude': -72.88677, 'type': 'locality', 'name': 'Upton', 'number': None, 'postal_code': None, 'street': None, 'confidence': 1, 'region': 'New York', 'region_code': 'NY', 'county': 'Suffolk County', 'locality': 'Upton', 'administrative_area': 'Brookhaven', 'neighbourhood': None, 'country': 'United States', 'country_code': 'USA', 'continent': 'North America', 'label': 'Upton, NY, USA', 'map_url': 'https://map.positionstack.com/export/embed.html?bbox=-72.90677,40.84954,-72.86677,40.88954&layer=mapnik&marker=40.86954,-72.88677'}
Las Vegas, NV 89135 (Summerlin South area)	{'latitude': 36.100975, 'longitude': -115.375911, 'type': 'postalcode', 'name': '89135', 'number': None, 'postal_code': '89135', 'street': None, 'confidence': 1, 'region': 'Nevada', 'region_code': 'NV', 'county': 'Clark County', 'locality': None, 'administrative_area': None, 'neighbourhood': None, 'country': 'United States', 'country_code': 'USA', 'continent': 'North America', 'label': '89135, Clark County, NV, USA'}
Chippewa Falls, WI	{'latitude': 44.933548, 'longitude': -91.388876, 'type': 'locality', 'name': 'Chippewa Falls', 'number': None, 'postal_code': None, 'street': None, 'confidence': 1, 'region': 'Wisconsin', 'region_code': 'WI', 'county': 'Chippewa County', 'locality': 'Chippewa Falls', 'administrative_area': 'Chippewa Falls', 'neighbourhood': None, 'country': 'United States', 'country_code': 'USA', 'continent': 'North America', 'label': 'Chippewa Falls, WI, USA'}
Hartford, WI 53027	{'latitude': 43.317984, 'longitude': -88.372522, 'type': 'postalcode', 'name': '53027', 'number': None, 'postal_code': '53027', 'street': None, 'confidence': 1, 'region': 'Wisconsin', 'region_code': 'WI', 'county': 'Washington County', 'locality': 'Hartford', 'administrative_area': 'Hartford', 'neighbourhood': None, 'country': 'United States', 'country_code': 'USA', 'continent': 'North America', 'label': '53027, Hartford, WI, USA'}
Niskayuna, NY 12309	{'latitude': 42.79983, 'longitude': -73.864972, 'type': 'postalcode', 'name': '12309', 'number': None, 'postal_code': '12309', 'street': None, 'confidence': 1, 'region': 'New York', 'region_code': 'NY', 'county': 'Schenectady County', 'locality': None, 'administrative_area': 'Niskayuna', 'neighbourhood': None, 'country': 'United States', 'country_code': 'USA', 'continent': 'North America', 'label': '12309, Niskayuna, NY, USA', 'map_url': 'https://map.positionstack.com/export/embed.html?bbox=-73.918344,42.740124,-73.809369,42.851076&layer=mapnik&marker=42.79983,-73.864972'}
Reserve, LA 70084	{'latitude': 30.05381, 'longitude': -90.55175, 'type': 'locality', 'name': 'Reserve', 'number': None, 'postal_code': None, 'street': None, 'confidence': 0.6, 'region': 'Louisiana', 'region_code': 'LA', 'county': 'St. John the Baptist Parish', 'locality': 'Reserve', 'administrative_area': None, 'neighbourhood': None, 'country': 'United States', 'country_code': 'USA', 'continent': 'North America', 'label': 'Reserve, LA, USA'}
Tualatin, OR 97062	{'latitude': 45.376141, 'longitude': -122.7713, 'type': 'locality', 'name': 'Tualatin', 'number': None, 'postal_code': None, 'street': None, 'confidence': 0.6, 'region': 'Oregon', 'region_code': 'OR', 'county': 'Washington County', 'locality': 'Tualatin', 'administrative_area': None, 'neighbourhood': None, 'country': 'United States', 'country_code': 'USA', 'continent': 'North America', 'label': 'Tualatin, OR, USA'}
Vonore, TN 37885	{'latitude': 35.599285, 'longitude': -84.241842, 'type': 'locality', 'name': 'Vonore', 'number': None, 'postal_code': None, 'street': None, 'confidence': 0.6, 'region': 'Tennessee', 'region_code': 'TN', 'county': 'Monroe County', 'locality': 'Vonore', 'administrative_area': None, 'neighbourhood': None, 'country': 'United States', 'country_code': 'USA', 'continent': 'North America', 'label': 'Vonore, TN, USA'}
Houston, TX 77044	{'latitude': 29.784753, 'longitude': -95.361416, 'type': 'locality', 'name': 'Houston', 'number': None, 'postal_code': None, 'street': None, 'confidence': 0.6, 'region': 'Texas', 'region_code': 'TX', 'county': 'Harris County', 'locality': 'Houston', 'administrative_area': None, 'neighbourhood': None, 'country': 'United States', 'country_code': 'USA', 'continent': 'North America', 'label': 'Houston, TX, USA'}
Newton, MA	{'latitude': 42.335091, 'longitude': -71.204562, 'type': 'locality', 'name': 'Newton', 'number': None, 'postal_code': None, 'street': None, 'confidence': 1, 'region': 'Massachusetts', 'region_code': 'MA', 'county': 'Middlesex County', 'locality': 'Newton', 'administrative_area': 'Newton', 'neighbourhood': None, 'country': 'United States', 'country_code': 'USA', 'continent': 'North America', 'label': 'Newton, MA, USA'}
San Antonio, TX 78264	{'latitude': 29.374994, 'longitude': -98.588562, 'type': 'locality', 'name': 'San Antonio', 'number': None, 'postal_code': None, 'street': None, 'confidence': 0.6, 'region': 'Texas', 'region_code': 'TX', 'county': 'Bexar County', 'locality': 'San Antonio', 'administrative_area': None, 'neighbourhood': None, 'country': 'United States', 'country_code': 'USA', 'continent': 'North America', 'label': 'San Antonio, TX, USA'}
